RecID,StudentID,CourseID,Description,Timeline,Deadline,Status
R001,S005,C201,Exam,2 weeks,2025-11-23,Pending
R002,S017,C204,Exam,3 weeks,2025-11-23,Approved
R003,S032,C205,Overall Fail,2 weeks,2025-11-23,Pending
R004,S040,C208,Exam,2 weeks,2025-11-23,Completed
R005,S048,C210,Exam,2 weeks,2025-11-23,Pending
R006,S056,C213,Overall Fail,2 weeks,2025-11-23,Approved
R007,S063,C214,Project,2 weeks,2025-11-23,Pending
R008,S067,C217,Exam,2 weeks,2025-11-23,Approved
R009,S070,C219,Exam,2 weeks,2025-11-23,Pending
R010,S072,C220,Assignment,2 weeks,2025-11-23,Completed
R011,S075,C222,Exam,2 weeks,2025-11-23,Approved
R012,S078,C223,Exam,2 weeks,2025-11-23,Pending
R013,S081,C226,Overall Fail,2 weeks,2025-11-23,Completed
R015,S088,C229,Exam,2 weeks,2025-11-23,Pending
R016,S091,C230,Exam,2 weeks,2025-11-23,Completed
R017,S095,C232,Exam,2 weeks,2025-11-23,Approved
R018,S097,C235,Project,2 weeks,2025-11-23,Pending
R019,S099,C238,Exam,2 weeks,2025-11-23,Pending
R020,S100,C240,Exam,2 weeks,2025-11-23,Approved
R021,S065,C250,Assignment,5 weeks,2025-11-30,Pending
R022,S003,C205,Assignment,To be set,2025-12-11,Pending
R023,S003,C206,Exam,To be set,2025-12-13,Pending
